epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.31,1.34849,11.0785,0.00602,0.00176,0.98148,0.34701,0.14359,1.07604,10.7082,0.00709,0.000653333,0.000653333,0.000653333
2,54.704,1.37527,8.19182,0.00617,0.76162,0.68044,0.84346,0.49807,1.37531,8.22088,0.00898,0.00128733,0.00128733,0.00128733
3,72.4835,1.45352,5.65156,0.00662,0.7623,0.83145,0.87396,0.54707,1.35398,2.58652,0.00919,0.00188833,0.00188833,0.00188833
4,90.5735,1.46457,3.89961,0.00658,0.79296,0.81567,0.89233,0.5513,1.34908,1.62915,0.00924,0.0018515,0.0018515,0.0018515
5,109.056,1.41953,2.94438,0.00656,0.82775,0.86111,0.91034,0.55162,1.42061,1.43643,0.00987,0.001802,0.001802,0.001802
6,126.669,1.42597,2.10601,0.00652,0.78979,0.83494,0.89149,0.57362,1.32234,0.72448,0.00897,0.0017525,0.0017525,0.0017525
7,144.043,1.45498,1.59561,0.00689,0.83964,0.91667,0.92062,0.59331,1.27288,0.56677,0.00862,0.001703,0.001703,0.001703
8,162.483,1.40207,1.41703,0.0067,0.8905,0.86111,0.95533,0.63559,1.20525,0.58803,0.00822,0.0016535,0.0016535,0.0016535
9,180.197,1.39622,1.16901,0.0063,0.83316,0.87853,0.92058,0.56339,1.34236,0.59346,0.00927,0.001604,0.001604,0.001604
10,197.522,1.3231,1.08604,0.00604,0.82064,0.83333,0.9096,0.58969,1.25403,0.65077,0.00853,0.0015545,0.0015545,0.0015545
11,215.88,1.33268,0.94708,0.00604,0.87075,0.87333,0.94046,0.62335,1.24679,0.54633,0.0083,0.001505,0.001505,0.001505
12,233.969,1.36045,0.89646,0.00601,0.92011,0.86111,0.95367,0.54534,1.61809,0.57542,0.01159,0.0014555,0.0014555,0.0014555
13,251.438,1.37108,0.76794,0.0064,0.87421,0.89815,0.94633,0.62975,1.25144,0.50956,0.00842,0.001406,0.001406,0.001406
14,270.285,1.35739,0.70575,0.00597,0.91784,0.93094,0.968,0.62664,1.30624,0.46606,0.00897,0.0013565,0.0013565,0.0013565
15,287.894,1.32578,0.72293,0.00583,0.90874,0.92198,0.96017,0.6403,1.2401,0.49017,0.00839,0.001307,0.001307,0.001307
16,305.356,1.30494,0.67439,0.00569,0.90956,0.9312,0.96604,0.64091,1.24484,0.47646,0.00844,0.0012575,0.0012575,0.0012575
17,324.254,1.35341,0.68526,0.00617,0.93941,0.86136,0.96253,0.622,1.27413,0.48104,0.00871,0.001208,0.001208,0.001208
18,341.627,1.26542,0.62199,0.00575,0.92948,0.92593,0.96764,0.62431,1.33508,0.46337,0.00899,0.0011585,0.0011585,0.0011585
19,358.926,1.28168,0.60216,0.0058,0.89598,0.9571,0.96959,0.65452,1.26604,0.44227,0.00872,0.001109,0.001109,0.001109
20,378.392,1.2588,0.54945,0.00561,0.91757,0.96296,0.9724,0.59321,1.43951,0.47091,0.00962,0.0010595,0.0010595,0.0010595
21,395.685,1.36766,0.58216,0.00611,0.9537,0.95355,0.98082,0.67194,1.21868,0.42454,0.00802,0.00101,0.00101,0.00101
