epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,412.868,1.3357,0.57179,0.00575,0.90015,0.89815,0.9582,0.66121,1.23919,0.51641,0.00838,0.0009605,0.0009605,0.0009605
23,431.454,1.22011,0.51383,0.00531,0.91761,0.92818,0.96746,0.66658,1.22957,0.43498,0.00846,0.000911,0.000911,0.000911
24,449.225,1.1745,0.48755,0.00521,0.93457,0.92585,0.97336,0.67111,1.20778,0.41049,0.00808,0.0008615,0.0008615,0.0008615
25,466.637,1.2065,0.49505,0.00512,0.90274,0.93519,0.96946,0.66816,1.18217,0.41676,0.00791,0.000812,0.000812,0.000812
26,485.757,1.20775,0.48873,0.0054,0.93159,0.93519,0.97786,0.67358,1.17578,0.40495,0.00776,0.0007625,0.0007625,0.0007625
27,503.068,1.13501,0.48118,0.00489,0.95166,0.92593,0.97498,0.66929,1.23299,0.41608,0.0085,0.000713,0.000713,0.000713
28,520.379,1.18402,0.48856,0.00529,0.93512,0.93424,0.96561,0.65622,1.23646,0.43464,0.00836,0.0006635,0.0006635,0.0006635
29,539.467,1.20179,0.47952,0.00545,0.95333,0.9537,0.98111,0.66494,1.25938,0.3891,0.00846,0.000614,0.000614,0.000614
30,557.501,1.16192,0.44179,0.00514,0.91027,0.93934,0.97261,0.67528,1.18926,0.41119,0.00797,0.0005645,0.0005645,0.0005645
31,577.725,1.15681,0.48714,0.00589,0.90949,0.93042,0.97238,0.63478,1.328,0.43732,0.00885,0.000515,0.000515,0.000515
32,595.673,1.09446,0.42156,0.00581,0.92664,0.94444,0.97344,0.68419,1.1549,0.40227,0.00768,0.0004655,0.0004655,0.0004655
33,612.97,1.07703,0.44225,0.00524,0.92953,0.9771,0.9846,0.69938,1.16202,0.37002,0.00774,0.000416,0.000416,0.000416
34,630.37,1.08316,0.44596,0.00535,0.94625,0.9537,0.98271,0.69134,1.17484,0.35943,0.00778,0.0003665,0.0003665,0.0003665
35,648.474,1.06489,0.44023,0.00515,0.91982,0.9537,0.97277,0.67431,1.1827,0.39995,0.00794,0.000317,0.000317,0.000317
36,665.657,1.02265,0.38496,0.00498,0.92629,0.96296,0.97745,0.68759,1.15693,0.38826,0.00772,0.0002675,0.0002675,0.0002675
37,682.368,1.04094,0.39844,0.00531,0.93679,0.94444,0.97772,0.6882,1.16925,0.37454,0.00771,0.000218,0.000218,0.000218
38,700.374,1.01838,0.39943,0.00487,0.93637,0.94444,0.9769,0.68753,1.1559,0.38791,0.00762,0.0001685,0.0001685,0.0001685
39,717.074,1.005,0.40349,0.00496,0.9451,0.9564,0.97751,0.69205,1.15885,0.37025,0.00763,0.000119,0.000119,0.000119
40,733.642,0.9514,0.35547,0.00479,0.92814,0.95679,0.97767,0.69391,1.15293,0.36538,0.0076,6.95e-05,6.95e-05,6.95e-05
